store_id,owner_id,business_registration_no,industry_code,open_date,summary_year_month,total_sales_amount,weekday_sales_amount,weekend_sales_amount,lunch_sales_ratio,dinner_sales_ratio,transaction_count,weekday_transaction_count,weekend_transaction_count,mom_growth_rate,yoy_growth_rate,sales_cv,avg_transaction_value,weekday_avg_transaction_value,weekend_avg_transaction_value,cash_payment_ratio,card_payment_ratio,revisit_customer_sales_ratio,new_customer_ratio,created_dttm,updated_dttm,last_updated_dttm,electricity_usage_kwh,electricity_bill_amount,gas_usage_m3,water_usage_ton,energy_eff_appliance_ratio,participate_energy_eff_support,participate_high_eff_equip_support,food_waste_kg_per_day,recycle_waste_kg_per_day,yellow_umbrella_member,yellow_umbrella_months,yellow_umbrella_amount,employment_insurance_employees,customer_review_avg_rating,customer_review_positive_ratio,hygiene_certified,origin_price_violation_count,operating_profit,cost_of_goods_sold,total_salary,operating_expenses,rent_expense,other_expenses,operating_profit_ratio,cogs_ratio,salary_ratio,rent_ratio,operating_expense_ratio,cash_payment_ratio_detail,card_payment_ratio_detail,other_payment_ratio,weighted_avg_cash_period,cashflow_cv,avg_account_balance,min_balance_maintenance_ratio,excessive_withdrawal_frequency,rent_payment_compliance_rate,utility_payment_compliance_rate,salary_payment_regularity,tax_payment_integrity
101,1101,101-74-60399,56112,2024-11-04,2024-11,2800000.00,1540000.00,1260000.00,31.82,26.93,172,94,78,1.19,,0.1422,16198.00,15226.00,18141.00,15.60,84.40,40.07,53.70,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,863.54,111394.78,503.16,9.31,35.73,0,0,6.53,5.24,0,0,0.00,0,3.90,50.51,0,0,400511.13,1357440.00,434000.00,2399488.87,314720.00,293328.87,14.30,48.48,15.50,11.24,85.70,53.27,44.55,2.18,1.22,0.3893,1733451.54,59.98,2.8,61.81,72.72,59.83,68.72
101,1101,101-80-14374,56112,2024-11-04,2024-12,3186680.00,1752674.00,1434006.00,24.58,26.45,190,104,86,13.81,,0.1652,16758.00,15753.00,18769.00,19.40,80.60,50.74,69.79,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,1124.53,130854.50,693.82,8.52,39.54,0,0,8.25,9.87,0,0,0.00,0,3.79,59.61,0,0,404509.21,1648150.90,548746.30,2782170.79,328228.04,257045.55,12.69,51.72,17.22,10.30,87.31,64.28,33.21,2.51,0.96,0.5050,2089948.05,42.61,2.0,77.86,46.09,54.71,72.81
101,1101,101-90-34754,56112,2024-11-04,2025-01,3577048.30,1967376.57,1609671.74,20.39,26.32,191,105,86,12.25,,0.1490,18686.00,17565.00,20928.00,15.90,84.10,51.00,63.24,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,1076.55,129244.78,740.47,8.18,60.68,0,0,6.87,6.02,0,0,0.00,0,3.86,57.41,0,0,553038.53,1723421.87,546215.28,3024009.77,393475.31,360897.31,15.46,48.18,15.27,11.00,84.54,63.36,32.64,4.00,1.02,0.5780,2210184.70,38.25,1.0,67.99,62.16,75.28,89.14
101,1101,101-04-50959,56112,2024-11-04,2025-02,4053153.43,2229234.39,1823919.04,26.34,33.74,196,107,89,13.31,,0.1718,20665.00,19425.00,23145.00,18.50,81.50,49.79,60.10,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,913.30,106184.46,627.34,8.09,37.72,0,0,5.62,6.30,0,0,0.00,0,3.25,51.33,0,0,598862.74,1978749.50,712544.37,3454290.69,366810.39,396186.43,14.78,48.82,17.58,9.05,85.22,56.24,40.69,3.07,1.17,1.3262,2875204.93,46.57,2.2,66.28,82.25,47.73,64.92
101,1101,101-31-21926,56112,2024-11-04,2025-03,4600329.14,2530181.03,2070148.11,22.07,25.49,200,110,90,13.50,,0.1800,22938.00,21562.00,25691.00,21.90,78.10,52.98,69.91,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,770.05,92266.94,505.50,9.16,40.55,0,0,7.93,8.35,0,0,0.00,0,3.64,55.99,0,0,749643.33,2176415.72,831279.48,3850685.81,453592.45,389398.16,16.30,47.31,18.07,9.86,83.70,62.88,34.11,3.01,1.00,0.9865,2336156.57,74.05,5.9,67.63,66.41,54.54,60.48
101,1101,101-46-18932,56112,2024-11-04,2025-04,5109585.58,2810272.07,2299313.51,28.44,28.67,286,157,129,11.07,,0.1628,17848.00,16777.00,19989.00,25.60,74.40,58.84,52.10,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,1362.19,174611.76,445.96,16.10,52.70,0,0,13.15,9.28,0,0,0.00,0,3.58,50.63,0,0,1135169.54,2389242.22,753152.91,3974416.04,375554.54,456466.37,22.22,46.76,14.74,7.35,77.78,48.61,48.45,2.94,1.36,0.9539,3637618.45,58.98,0.0,83.18,72.53,74.51,62.14
101,1101,101-11-30610,56112,2024-11-04,2025-05,5750838.57,3162961.21,2587877.36,22.91,25.76,250,137,113,12.55,,0.1739,22945.00,21569.00,25699.00,21.30,78.70,44.27,50.94,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,1399.95,162647.86,434.54,21.41,52.69,0,0,8.22,8.97,0,0,0.00,0,3.84,62.86,0,1,1109807.32,2754076.59,794765.89,4641031.25,614189.56,477999.21,19.30,47.89,13.82,10.68,80.70,47.91,48.26,3.83,1.40,0.3352,3515153.17,80.74,4.1,87.88,60.74,48.22,81.40
101,1101,101-26-85477,56112,2024-11-04,2025-06,6518575.52,3585216.54,2933358.98,27.28,37.91,342,188,154,13.35,,0.1879,19010.00,17869.00,21291.00,17.30,82.70,53.25,65.32,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,1708.37,196200.01,523.12,21.43,57.96,1,0,10.30,12.02,0,0,0.00,0,3.98,56.88,0,0,1319582.20,3075463.93,915208.00,5198993.32,547560.34,660761.05,20.24,47.18,14.04,8.40,79.76,56.09,41.64,2.27,1.15,0.2434,3739228.78,45.25,2.5,89.49,55.01,58.52,68.73
101,1101,101-58-56319,56112,2024-11-04,2025-07,7350345.76,4042690.17,3307655.59,21.09,35.12,463,254,209,12.76,,0.1323,15860.00,14908.00,17763.00,26.70,73.30,54.93,55.40,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,2061.69,265840.60,672.44,21.84,56.33,0,0,8.56,8.14,0,0,0.00,0,3.87,60.26,0,2,1176425.59,3426731.19,1392155.49,6173920.17,750470.30,604563.19,16.01,46.62,18.94,10.21,83.99,50.61,46.04,3.35,1.32,0.7304,5342989.25,63.38,2.7,60.14,75.40,76.91,65.84
101,1101,101-52-14797,56112,2024-11-04,2025-08,8323531.54,4577942.35,3745589.19,22.69,31.79,532,292,240,13.24,,0.1781,15626.00,14688.00,17501.00,17.30,82.70,45.49,53.83,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,1912.96,232368.09,671.88,16.43,68.20,0,0,13.48,13.40,0,0,0.00,0,3.44,50.50,0,0,1122917.40,4074368.69,1419162.13,7200614.14,958870.83,748212.49,13.49,48.95,17.05,11.52,86.51,60.36,36.94,2.70,1.06,0.7842,5727675.20,48.83,7.7,78.14,83.03,55.31,60.67
102,1102,102-67-96849,56113,2024-05-19,2024-05,6500000.00,3575000.00,2925000.00,32.41,28.45,322,177,145,-2.99,,0.1736,20152.00,18943.00,22570.00,22.00,78.10,53.13,55.51,2025-09-08 00:21:10,2025-09-08 00:21:18,2025-09-08 00:21:10,1473.43,185053.13,447.80,22.60,53.02,1,0,13.96,14.78,0,0,0.00,0,4.09,64.72,0,0,1344979.11,3145350.00,898300.00,5155020.89,614900.00,496470.89,20.69,48.39,13.82,9.46,79.31,60.11,36.61,3.28,1.08,0.8991,4975822.32,43.34,1.8,71.70,59.30,51.03,61.74
