id,operating_profit,cost_of_goods_sold,total_salary,operating_expenses,rent_expense,other_expenses,operating_profit_ratio,cogs_ratio,salary_ratio,rent_ratio,operating_expense_ratio,cash_payment_ratio_detail,card_payment_ratio_detail,other_payment_ratio,weighted_avg_cash_period,cashflow_cv,avg_account_balance,min_balance_maintenance_ratio,excessive_withdrawal_frequency,rent_payment_compliance_rate,utility_payment_compliance_rate,salary_payment_regularity,tax_payment_integrity,created_at
1,5058019.33,4918877.93,2458674.45,11573200.82,1538200.56,7576325.81,33.08,32.17,16.08,10.06,75.69,52.17,48.70,-0.87,1.17,0.3726,12134733.00,68.76,0.3,75.69,93.26,87.10,83.53,2025-09-10 19:52:45
2,1527609.56,1954057.34,1314979.62,3141934.14,754301.77,1072652.75,25.72,32.90,22.14,12.70,52.90,30.00,40.58,29.42,2.49,0.8073,1000000.00,74.72,3.4,93.89,68.76,100.00,95.66,2025-09-10 19:52:45
3,7582335.46,8421877.60,3818505.76,7920974.30,544996.90,3557471.64,42.99,47.75,21.65,3.09,44.91,46.68,55.20,-1.88,1.29,0.3625,15435160.00,56.59,4.0,100.00,54.61,87.13,89.58,2025-09-10 19:52:45
4,1966820.43,4177106.50,771451.90,9070288.40,691251.45,7607585.05,20.60,43.75,8.08,7.24,95.00,52.70,49.02,-1.72,1.14,0.7030,10221659.00,67.24,8.0,56.65,100.00,68.76,71.16,2025-09-10 19:52:45
5,314000.00,2664500.00,1109500.00,3708500.00,293500.00,2305500.00,6.28,53.29,22.19,5.87,74.17,46.28,55.46,-1.74,1.30,0.4532,5238585.00,34.12,6.4,75.32,68.38,60.74,51.44,2025-09-10 19:52:45
6,4365363.89,3864864.00,3746985.65,14309658.96,386486.40,10176186.91,22.59,20.00,19.39,2.00,74.05,46.41,45.40,8.19,1.54,0.1265,15127150.00,95.00,1.9,92.26,96.78,75.81,76.27,2025-09-10 19:52:45
7,2416968.93,3969584.25,734432.14,10200446.40,397280.54,9068733.72,22.51,36.97,6.84,3.70,95.00,53.81,35.32,10.87,1.43,1.5412,6944419.00,63.04,1.7,82.94,85.44,57.15,100.00,2025-09-10 19:52:45
8,5296088.40,12252501.60,1086600.00,16442431.20,434640.00,14921191.20,24.37,56.38,5.00,2.00,75.66,55.63,43.89,0.48,1.12,0.4809,15055540.00,61.82,0.0,100.00,61.02,54.06,100.00,2025-09-10 19:52:45
9,5757316.08,6501832.07,3186473.58,10764631.72,1528794.34,6049363.80,41.99,47.42,23.24,11.15,78.51,50.19,49.08,0.73,1.26,0.5601,17422520.00,55.12,3.6,81.29,86.10,82.90,86.56,2025-09-10 19:52:45
10,1153654.66,5240388.88,4621610.47,16605635.20,349592.32,11634432.41,6.60,29.98,26.44,2.00,95.00,48.10,42.92,8.98,1.52,1.1278,15386177.00,70.08,4.1,94.28,96.91,79.67,79.35,2025-09-10 19:52:45
11,1038384.68,4245289.40,728180.00,13835420.00,1792779.16,11314460.84,7.13,29.15,5.00,12.31,95.00,30.00,55.14,14.86,2.12,0.1000,11408360.00,63.26,5.1,79.13,33.70,46.71,100.00,2025-09-10 19:52:45
12,4827066.82,15059265.04,5491613.50,21620525.60,1433782.22,14695129.88,21.21,66.17,24.13,6.30,95.00,50.70,52.51,-3.21,1.15,0.9670,7452101.00,79.21,0.0,87.54,84.11,60.41,70.62,2025-09-10 19:52:45
13,2613026.48,6085651.20,1223215.89,6976438.39,826127.15,4927095.35,34.35,80.00,16.08,10.86,91.71,58.69,43.76,-2.45,0.97,0.2649,12350698.00,41.85,0.0,86.27,63.44,62.49,64.97,2025-09-10 19:52:45
14,2055926.41,2610577.24,1887052.27,7359194.00,300564.98,5171576.75,26.54,33.70,24.36,3.88,95.00,49.74,47.25,3.01,1.33,0.6662,2820400.00,57.44,0.0,46.16,70.04,57.70,88.15,2025-09-10 19:52:45
15,3120075.80,10010764.47,6485354.04,18675417.64,2667201.93,9522861.67,12.47,40.01,25.92,10.66,74.64,54.89,45.20,-0.09,1.13,0.8782,19045927.00,75.76,1.6,78.94,63.50,78.51,89.76,2025-09-10 19:52:45
16,1927332.29,3543418.37,1532289.02,8501410.85,1405595.86,5563525.97,19.32,35.52,15.36,14.09,85.22,37.75,44.86,17.39,1.99,0.5399,6776730.00,23.56,5.0,28.43,79.57,96.00,89.23,2025-09-10 19:52:45
17,1063023.26,3114690.73,1074424.43,2583722.02,995702.08,513595.51,19.58,57.37,19.79,18.34,47.59,56.74,47.49,-4.23,0.98,0.8882,10209281.00,58.58,0.0,68.05,100.00,76.34,85.85,2025-09-10 19:52:45
18,1488500.00,1739500.00,836000.00,4750000.00,100000.00,3814000.00,29.77,34.79,16.72,2.00,95.00,37.58,40.43,21.99,2.11,0.1983,12336580.00,69.92,5.8,81.62,76.21,67.85,100.00,2025-09-10 19:52:45
19,2141314.48,13033341.55,2316466.11,13596574.23,2783537.11,8496571.01,12.47,75.90,13.49,16.21,79.18,49.71,35.29,15.00,1.63,0.2756,12438086.00,37.88,4.3,100.00,55.95,100.00,75.82,2025-09-10 19:52:45
20,2142827.90,4022201.60,1021136.43,3587803.83,508808.50,2057858.90,42.62,80.00,20.31,10.12,71.36,52.04,35.17,12.79,1.52,1.1238,4578209.00,89.92,8.6,75.33,35.85,67.50,71.07,2025-09-10 19:52:45
21,4361296.40,13088115.25,4207045.12,13525512.71,422606.24,8895861.35,20.64,61.94,19.91,2.00,64.01,46.19,33.83,19.98,1.84,0.6919,16784409.00,23.45,0.0,100.00,94.96,52.95,46.58,2025-09-10 19:52:45
22,4105154.44,5223998.81,2383675.74,7328547.40,2165279.18,2779592.48,35.15,44.73,20.41,18.54,62.75,53.94,45.60,0.46,1.16,0.8198,14049150.00,43.14,1.9,78.07,64.21,37.10,80.73,2025-09-10 19:52:45
