current_month,summary_year_month,total_sales_amount,weekday_sales_amount,weekend_sales_amount,lunch_sales_ratio,dinner_sales_ratio,transaction_count,weekday_transaction_count,weekend_transaction_count,mom_growth_rate,yoy_growth_rate,sales_cv,avg_transaction_value,weekday_avg_transaction_value,weekend_avg_transaction_value,cash_payment_ratio,card_payment_ratio,revisit_customer_sales_ratio,new_customer_ratio,operating_profit,cost_of_goods_sold,total_salary,operating_expenses,rent_expense,other_expenses,operating_profit_ratio,cogs_ratio,salary_ratio,rent_ratio,operating_expense_ratio,cash_payment_ratio_detail,card_payment_ratio_detail,other_payment_ratio,weighted_avg_cash_period,cashflow_cv,avg_account_balance,min_balance_maintenance_ratio,excessive_withdrawal_frequency,rent_payment_compliance_rate,utility_payment_compliance_rate,salary_payment_regularity,tax_payment_integrity,electricity_usage_kwh,gas_usage_m3,water_usage_ton,energy_eff_appliance_ratio,participate_energy_eff_support,participate_high_eff_equip_support,food_waste_kg_per_day,recycle_waste_kg_per_day,yellow_umbrella_member,yellow_umbrella_months,yellow_umbrella_amount,employment_insurance_employees,customer_review_avg_rating,customer_review_positive_ratio,hygiene_certified,origin_price_violation_count
98,Jan.18,17496450.37,11674557.28,6586164.3,18.92,33,1639,1029,397,-4.5,-4.74,0.4535,34524.04,33286.85,38944.48,54.21,43.8,71.66,28.42,5058019.33,4918877.93,2458674.45,11573200.82,1538200.56,7576325.81,33.08,32.17,16.08,10.06,75.69,52.17,48.7,-0.87,1.17,0.3726,12134733,68.76,0.3,75.69,93.26,87.1,83.53,3079.68,1047.96,17.02,47.24,0,0,6.78,1.84,0,0,0,0,4.19,87,0,0
98,Aug.24,10008040.11,5195098.75,5966845.77,18.7,33.1,3869,1833,4,-2.88,-2.24,0.4025,36518.41,33175.89,39082.92,51.36,45.73,72.62,29.06,1527609.56,1954057.34,1314979.62,3141934.14,754301.77,1072652.75,25.72,32.9,22.14,12.7,52.9,30,40.58,29.42,2.49,0.8073,1000000,74.72,3.4,93.89,68.76,100,95.66,3830.57,883.13,11.86,30.89,0,0,12.1,4.81,0,0,0,0,4.93,37.29,0,0
98,Jun.25,28861913.11,14526158.25,2390500.57,22.77,31.02,7110,461,138,-2.52,-9.46,0.4454,37695.61,33245.3,39598.77,53.51,44,72.46,25.34,7582335.46,8421877.6,3818505.76,7920974.3,544996.9,3557471.64,42.99,47.75,21.65,3.09,44.91,46.68,55.2,-1.88,1.29,0.3625,15435160,56.59,4,100,54.61,87.13,89.58,2524.16,1037.66,33.19,23.4,1,0,1,0.35,0,0,0,0,4.03,56.6,0,0
98,Aug.24,9118504.84,4349351.13,5527852.68,18.21,35.17,5108,756,646,-3.96,-0.81,0.3538,41962.83,33434.76,39095.37,50.02,42.86,73.54,29.33,1966820.43,4177106.5,771451.9,9070288.4,691251.45,7607585.05,20.6,43.75,8.08,7.24,95,52.7,49.02,-1.72,1.14,0.703,10221659,67.24,8,56.65,100,68.76,71.16,4191.46,927.95,29.49,12.81,0,0,3.65,0.88,0,0,0,0,2.54,80.41,0,0
98,May.24,18628392.78,5535628.77,4648598.68,19.87,31.85,9076,3019,1513,-0.89,-0.31,0.4421,28606.3,32564.35,38589.88,51.96,43.81,71.03,28.28,314000,2664500,1109500,3708500,293500,2305500,6.28,53.29,22.19,5.87,74.17,46.28,55.46,-1.74,1.3,0.4532,5238585,34.12,6.4,75.32,68.38,60.74,51.44,2914.72,962.75,21.55,35.87,0,0,11.56,3.16,0,0,0,0,4.66,80.15,0,0
98,Jul.25,0,17722923.63,0,19.55,36.32,541,3485,1006,-5.36,-6.39,0.4178,38697.53,34226.71,38953.47,52.5,45.15,72.72,26.87,4365363.89,3864864,3746985.65,14309658.96,386486.4,10176186.91,22.59,20,19.39,2,74.05,46.41,45.4,8.19,1.54,0.1265,15127150,95,1.9,92.26,96.78,75.81,76.27,1881.33,302.11,13.39,61.54,0,0,9.34,3.37,0,0,0,0,3.38,48.34,0,0
98,Jun.20,8658822.43,4521005.97,5077788.39,22.06,34.28,4689,8085,797,0.61,0.67,0.496,31667.65,33159.01,38837.86,51.73,50.12,70.62,26.35,2416968.93,3969584.25,734432.14,10200446.4,397280.54,9068733.72,22.51,36.97,6.84,3.7,95,53.81,35.32,10.87,1.43,1.5412,6944419,63.04,1.7,82.94,85.44,57.15,100,2264.71,330.42,20.77,13.73,0,0,8.47,4.15,1,206,725000,0,3.79,79.17,0,0
98,Apr.20,16545629.28,19815617.87,7179901.84,19.53,32.88,6745,0,1695,0.91,-2.43,0.4927,38767.22,33692.15,38979.66,56.02,44.58,73.2,25.7,5296088.4,12252501.6,1086600,16442431.2,434640,14921191.2,24.37,56.38,5,2,75.66,55.63,43.89,0.48,1.12,0.4809,15055540,61.82,0,100,61.02,54.06,100,2389.85,312.75,19.57,26.15,0,0,13.14,5.62,0,0,0,0,3.26,89.9,0,0
98,Feb.20,6425496.56,20062855.99,7130933.16,15.9,34.72,3502,4722,1247,3.36,1.93,0.3823,38652.5,33973.75,39503.28,55.37,46.55,72.28,28.22,5757316.08,6501832.07,3186473.58,10764631.72,1528794.34,6049363.8,41.99,47.42,23.24,11.15,78.51,50.19,49.08,0.73,1.26,0.5601,17422520,55.12,3.6,81.29,86.1,82.9,86.56,4185.04,841.26,7.06,7.02,0,0,6.67,2.09,0,0,0,0,4.01,98,0,0
98,Aug.25,28340506.46,3734345.99,1921591.34,21.45,33.25,8280,8080,1781,-2.77,-1.55,0.3895,38583.79,33982.23,38694.62,51.34,41.85,73.39,28.35,1153654.66,5240388.88,4621610.47,16605635.2,349592.32,11634432.41,6.6,29.98,26.44,2,95,48.1,42.92,8.98,1.52,1.1278,15386177,70.08,4.1,94.28,96.91,79.67,79.35,2390.31,352.09,10.85,30.23,0,0,11.83,5.1,0,0,0,0,4.63,63.51,0,0
